token,symbol,levels,ltp
2031617,AVANTIFEED,"((674.85, '2021-07'), 3)",670.45
418049,IPCALAB,"((1383.1, '2021-09'), 1)",1397.05
211713,DEEPAKFERT,"((1062.0, '2022-10'), 1)",1069.75
873217,TATAELXSI,"((8195.0, '2024-04'), 15)",8227.5
3463169,GMRINFRA,"((94.35, '2024-02'), 2)",94.66
341249,HDFCBANK,"((1641.0, '2021-02'), 44)",1637.1
4632577,JUBLFOOD,"((652.35, '2022-10'), 3)",656.1
4708097,RBLBANK,"((221.3, '2021-11'), 15)",227.56
4708097,RBLBANK,"((226.4, '2021-07'), 15)",227.56
4610817,WHIRLPOOL,"((2067.3, '2021-05'), 30)",2073.95
4524801,ALOKINDS,"((27.7, '2021-10'), 12)",27.75
3491073,JMFINANCIL,"((101.7, '2021-03'), 10)",101.85
3471361,GRINDWELL,"((2495.0, '2023-08'), 1)",2466.9
3471361,GRINDWELL,"((2468.1, '2024-01'), 1)",2466.9
