token,symbol,ltp,level,taps
197633,DABUR,526.0,525.0,60
356865,HINDUNILVR,2469.0,2456.95,46
3365633,PVRINOX,1468.0,1465.0,38
3365633,PVRINOX,1468.0,1469.25,30
4600577,SBICARD,696.6,695.55,24
4879617,MANAPPURAM,153.81,154.55,24
6386689,LTF,140.23,144.6,20
225537,DRREDDY,1203.15,1197.95,15
4632577,JUBLFOOD,645.15,643.1,13
6386689,LTF,140.23,140.2,11
341249,HDFCBANK,1787.3,1721.4,10
2863105,IDFCFIRSTB,64.18,64.3,8
2730497,PNB,104.24,104.2,8
4600577,SBICARD,696.6,678.9,6
345089,HEROMOTOCO,4831.85,4849.05,5
85761,BALKRISIND,2724.3,2723.8,5
5181953,OBEROIRLTY,1962.65,1953.05,4
341249,HDFCBANK,1787.3,1794.0,2
