Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
26,Welspun Corp Limited,WELCORP,P&F | F.A,2.69%,789.5,"2,53,790"
14,Whirlpool Of India Limited,WHIRLPOOL,P&F | F.A,2.26%,1893.1,"1,76,441"
30,Granules India Limited,GRANULES,P&F | F.A,1.73%,596.85,"30,37,435"
36,Sapphire Foods India Ltd,SAPPHIRE,P&F | F.A,1.53%,324.75,"5,35,841"
32,Chemplast Sanmar Ltd,CHEMPLASTS,P&F | F.A,1.51%,507.1,"77,324"
25,Praj Industries Limited,PRAJIND,P&F | F.A,1.09%,814.65,"11,82,947"
38,Campus Activewear Ltd,CAMPUS,P&F | F.A,0.91%,294.9,"2,81,790"
33,Itc Limited,ITC,P&F | F.A,0.89%,478.45,"1,15,64,497"
16,Gland Pharma Ltd,GLAND,P&F | F.A,0.86%,1780,"1,03,624"
22,Aurobindo Pharma Limited,AUROPHARMA,P&F | F.A,0.76%,1262.45,"5,65,054"
3,Oracle Financial Services Software Limited,OFSS,P&F | F.A,0.24%,12299.5,"1,83,934"
15,Sun Pharmaceuticals Industries Limited,SUNPHARMA,P&F | F.A,0.24%,1819,"11,21,058"
35,Petronet Lng Limited,PETRONET,P&F | F.A,0.22%,340.75,"29,34,685"
6,Nuvama Wealth Management Ltd,NUVAMA,P&F | F.A,0.21%,6846.45,"58,400"
23,Brigade Enterprises Limited,BRIGADE,P&F | F.A,0.13%,1260,"88,288"
18,AAVAS Financiers Ltd,AAVAS,P&F | F.A,0.07%,1673.7,"72,173"
8,Craftsman Automation Ltd,CRAFTSMAN,P&F | F.A,0.03%,5215,"16,987"
39,Equitas Small Finance Bank Ltd,EQUITASBNK,P&F | F.A,-0.14%,65.16,"15,83,572"
1,Abbott India Limited,ABBOTINDIA,P&F | F.A,-0.15%,28516.15,"5,768"
17,Prestige Estates Projects Limited,PRESTIGE,P&F | F.A,-0.18%,1751.9,"6,12,341"
11,Concord Biotech Ltd,CONCORDBIO,P&F | F.A,-0.26%,2130.35,"24,792"
31,Graphite India Limited,GRAPHITE,P&F | F.A,-0.29%,558.45,"8,74,553"
10,Srf Limited,SRF,P&F | F.A,-0.38%,2277.85,"3,10,188"
34,PCBL Ltd,PCBL,P&F | F.A,-0.38%,457.45,"14,39,535"
21,Narayana Hrudayalaya Ltd.,NH,P&F | F.A,-0.41%,1304.3,"1,28,312"
24,Birla Corporation Limited,BIRLACORPN,P&F | F.A,-0.47%,1242,"55,545"
29,Marico Limited,MARICO,P&F | F.A,-0.50%,633.35,"15,73,431"
5,Apollo Hospitals Enterprise Limited,APOLLOHOSP,P&F | F.A,-0.61%,7221,"1,46,814"
27,Asahi India Glass Limited,ASAHIINDIA,P&F | F.A,-0.74%,747,"41,950"
7,Persistent Systems Limited,PERSISTENT,P&F | F.A,-0.82%,6350.9,"2,24,656"
37,Wipro Limited,WIPRO,P&F | F.A,-0.84%,305.3,"88,37,902"
19,Glenmark Pharmaceuticals Limited,GLENMARK,P&F | F.A,-0.95%,1535.8,"3,71,831"
13,Muthoot Finance Limited,MUTHOOTFIN,P&F | F.A,-1.57%,2035,"3,35,158"
4,Apar Industries Limited,APARINDS,P&F | F.A,-1.76%,9984.8,"51,851"
2,Shree Cements Limited,SHREECEM,P&F | F.A,-1.84%,26700.55,"58,697"
28,Avanti Feeds Limited,AVANTIFEED,P&F | F.A,-2.07%,642.05,"5,14,345"
20,Macrotech Developers Ltd,LODHA,P&F | F.A,-2.57%,1403.05,"10,21,026"
9,Sundaram Finance Limited,SUNDARMFIN,P&F | F.A,-2.65%,4399.1,"49,915"
12,PB Fintech Ltd,POLICYBZR,P&F | F.A,-2.74%,2058.5,"10,59,240"
