date,symbol,marketcapname,sector
01-01-2025 11:15,PATANJALI,Largecap,FMCG
01-01-2025 11:15,ZENSARTECH,Midcap,I.T
01-01-2025 11:15,MOTILALOFS,Largecap,Services
01-01-2025 11:45,JBCHEPHARM,Largecap,Pharmaceuticals
01-01-2025 12:15,BHARTIHEXA,Largecap,Telecom
01-01-2025 12:30,LUXIND,Midcap,Textiles
01-01-2025 13:00,NIACL,Largecap,Services
01-01-2025 13:00,APLAPOLLO,Largecap,Metals
01-01-2025 14:00,SIGNATURE,Midcap,Realty
01-01-2025 14:45,GARFIBRES,Smallcap,Textiles
01-01-2025 15:00,CIPLA,Largecap,Pharmaceuticals
01-01-2025 15:00,RAIN,Midcap,Miscellaneous
01-01-2025 15:00,UNOMINDA,Largecap,Auto
01-01-2025 15:00,NH,Largecap,Pharmaceuticals
02-01-2025 10:30,POLYCAB,Largecap,Industrials
02-01-2025 10:30,J&KBANK,Midcap,Bank
02-01-2025 11:00,SANOFICONR,Midcap,Pharmaceuticals
02-01-2025 11:15,CSBBANK,Midcap,Bank
02-01-2025 11:15,STARHEALTH,Largecap,Services
02-01-2025 11:30,WALCHANNAG,Smallcap,FMCG
02-01-2025 11:30,ASTRAMICRO,Midcap,Aerospace & Defence
02-01-2025 12:15,BRIGADE,Largecap,Realty
02-01-2025 12:30,KIMS,Largecap,Pharmaceuticals
02-01-2025 12:45,TATAINVEST,Largecap,Finance
02-01-2025 14:30,AUROPHARMA,Largecap,Pharmaceuticals
02-01-2025 14:30,GRANULES,Midcap,Pharmaceuticals
02-01-2025 14:30,SCHNEIDER,Midcap,FMCG
02-01-2025 14:45,HIKAL,Smallcap,Pharmaceuticals
02-01-2025 14:45,EMCURE,Largecap,Pharmaceuticals
02-01-2025 15:00,JUNIPER,Midcap,Services
02-01-2025 15:00,BALUFORGE,Midcap,Industrials
02-01-2025 15:00,TTML,Midcap,Telecom
02-01-2025 15:00,JTLIND,Smallcap,Metals
03-01-2025 10:15,WELCORP,Largecap,Metals
03-01-2025 10:30,KESORAMIND,Midcap,Miscellaneous
03-01-2025 10:30,SAFARI,Midcap,FMCG
03-01-2025 11:45,INOXGREEN,Midcap,Miscellaneous
03-01-2025 11:45,OFSS,Largecap,I.T
03-01-2025 11:45,KPRMILL,Largecap,FMCG
03-01-2025 12:30,VIPIND,Midcap,FMCG
03-01-2025 14:00,GODREJAGRO,Midcap,Miscellaneous
03-01-2025 14:00,AWFIS,Midcap,Miscellaneous
03-01-2025 14:15,EIDPARRY,Midcap,FMCG
03-01-2025 14:30,HARSHA,Smallcap,Auto
03-01-2025 14:45,INDIACEM,Midcap,Industrials
03-01-2025 15:00,EPL,Midcap,Services
03-01-2025 15:00,NFL,Midcap,Industrials
03-01-2025 15:00,TRITURBINE,Largecap,FMCG
06-01-2025 10:30,SONATSOFTW,Midcap,I.T
06-01-2025 10:45,TEAMLEASE,Smallcap,Miscellaneous
06-01-2025 11:45,AAVAS,Midcap,Finance
06-01-2025 12:30,WESTLIFE,Midcap,Quick Service Restaurant
06-01-2025 13:00,MINDACORP,Midcap,Auto
06-01-2025 15:00,SRF,Largecap,Industrials
06-01-2025 15:00,ASTRAZEN,Midcap,Pharmaceuticals
07-01-2025 09:30,JLHL,Midcap,Pharmaceuticals
07-01-2025 09:30,MTARTECH,Midcap,Aerospace & Defence
07-01-2025 09:45,GLENMARK,Largecap,Pharmaceuticals
07-01-2025 11:15,CONCORDBIO,Largecap,Pharmaceuticals
07-01-2025 11:30,CHOLAFIN,Largecap,Finance
07-01-2025 12:30,KSCL,Smallcap,Miscellaneous
07-01-2025 13:15,RPSGVENT,Smallcap,I.T
07-01-2025 13:15,NAVINFLUOR,Midcap,Industrials
07-01-2025 14:15,FACT,Largecap,Industrials
07-01-2025 14:45,GILLETTE,Largecap,FMCG
07-01-2025 15:00,SUNDARMFIN,Largecap,Finance
07-01-2025 15:00,HIMATSEIDE,Smallcap,Textiles
07-01-2025 15:00,NUVOCO,Midcap,Industrials
08-01-2025 11:15,RAMKY,Smallcap,Realty
08-01-2025 11:45,ITDC,Midcap,Services
08-01-2025 13:00,DMART,Largecap,FMCG
09-01-2025 10:45,METROBRAND,Largecap,FMCG
09-01-2025 12:45,AMIORG,Midcap,Pharmaceuticals
